time_ms,mode,head,roll,pitch,lvol,rvol,bus_v,current_ma,audio_rail,fault
20498,ACTIVE,CENTER,,,,,4.964,,ON,0x00
20727,ACTIVE,CENTER,,,,,4.964,,ON,0x00
20956,ACTIVE,CENTER,,,,,4.964,,ON,0x00
21185,ACTIVE,CENTER,,,,,4.964,,ON,0x00
21401,ACTIVE,CENTER,,,,,4.964,,ON,0x00
21630,ACTIVE,CENTER,,,,,4.964,,ON,0x00
21859,ACTIVE,CENTER,,,,,4.964,,ON,0x00
22088,ACTIVE,CENTER,,,,,4.964,,ON,0x00
22317,ACTIVE,CENTER,,,,,4.964,,ON,0x00
22547,ACTIVE,CENTER,,,,,4.964,,ON,0x00
22776,ACTIVE,CENTER,,,,,4.964,,ON,0x00
23005,ACTIVE,CENTER,,,,,4.964,,ON,0x00
23234,ACTIVE,CENTER,,,,,4.964,,ON,0x00
23463,ACTIVE,CENTER,,,,,4.964,,ON,0x00
23692,ACTIVE,CENTER,,,,,4.964,,ON,0x00
23921,ACTIVE,CENTER,,,,,4.964,,ON,0x00
24150,ACTIVE,CENTER,,,,,4.964,,ON,0x00
24364,ACTIVE,CENTER,,,,,4.964,,ON,0x00
24593,ACTIVE,CENTER,,,,,4.964,,ON,0x00
24822,ACTIVE,CENTER,,,,,4.964,,ON,0x00
25051,ACTIVE,CENTER,,,,,4.964,,ON,0x00
25280,ACTIVE,CENTER,,,,,4.964,,ON,0x00
25509,ACTIVE,CENTER,,,,,4.964,,ON,0x00
25738,ACTIVE,CENTER,,,,,4.964,,ON,0x00
25967,ACTIVE,CENTER,,,,,4.964,,ON,0x00
26196,ACTIVE,CENTER,,,,,4.964,,ON,0x00
26425,ACTIVE,CENTER,,,,,4.964,,ON,0x00
26655,ACTIVE,CENTER,,,,,4.964,,ON,0x00
26884,ACTIVE,CENTER,,,,,4.964,,ON,0x00
27113,ACTIVE,CENTER,,,,,4.964,,ON,0x00
27328,ACTIVE,CENTER,,,,,4.964,,ON,0x00
27558,ACTIVE,CENTER,,,,,4.964,,ON,0x00
27787,ACTIVE,CENTER,,,,,4.964,,ON,0x00
28016,ACTIVE,CENTER,,,,,4.964,,ON,0x00
28245,ACTIVE,CENTER,,,,,4.964,,ON,0x00
28474,ACTIVE,CENTER,,,,,4.964,,ON,0x00
28703,ACTIVE,CENTER,,,,,4.964,,ON,0x00
28932,ACTIVE,CENTER,,,,,4.964,,ON,0x00
29161,ACTIVE,CENTER,,,,,4.964,,ON,0x00
29390,ACTIVE,CENTER,,,,,4.964,,ON,0x00
29620,ACTIVE,CENTER,,,,,4.964,,ON,0x00
29849,ACTIVE,CENTER,,,,,4.964,,ON,0x00
30062,ACTIVE,CENTER,,,,,4.964,,ON,0x00
30291,ACTIVE,CENTER,,,,,4.964,,ON,0x00
30520,ACTIVE,CENTER,,,,,4.964,,ON,0x00
30749,ACTIVE,CENTER,,,,,4.964,,ON,0x00
30978,ACTIVE,CENTER,,,,,4.964,,ON,0x00
31207,ACTIVE,CENTER,,,,,4.968,,ON,0x00
31437,ACTIVE,CENTER,,,,,4.964,,ON,0x00
31666,ACTIVE,CENTER,,,,,4.964,,ON,0x00
31895,ACTIVE,CENTER,,,,,4.964,,ON,0x00
32124,ACTIVE,CENTER,,,,,4.960,,ON,0x00
32353,ACTIVE,CENTER,,,,,4.964,,ON,0x00
32582,ACTIVE,CENTER,,,,,4.964,,ON,0x00
32811,ACTIVE,CENTER,,,,,4.964,,ON,0x00
33027,ACTIVE,CENTER,,,,,4.964,,ON,0x00
33256,ACTIVE,CENTER,,,,,4.964,,ON,0x00
33485,ACTIVE,CENTER,,,,,4.964,,ON,0x00
33714,ACTIVE,CENTER,,,,,4.964,,ON,0x00
33943,ACTIVE,CENTER,,,,,4.964,,ON,0x00
34172,ACTIVE,CENTER,,,,,4.964,,ON,0x00
34402,ACTIVE,CENTER,,,,,4.960,,ON,0x00
34631,ACTIVE,CENTER,,,,,4.964,,ON,0x00
34860,ACTIVE,CENTER,,,,,4.964,,ON,0x00
